sample_idx,min_ade,min_fde,best_ade_k,best_fde_k,conf_ade,conf_fde,conf_k,conf_prob
3024,1.3668900728225708,2.8190014362335205,0,0,1.3668900728225708,2.8190014362335205,0,0.8542019128799438
391,0.4602074921131134,0.5326740741729736,1,1,0.4602074921131134,0.5326740741729736,1,0.5379777550697327
2703,0.13474364578723907,0.08404862135648727,5,1,0.13474364578723907,0.24896617233753204,5,0.6562792062759399
1683,0.06406114995479584,0.11772534251213074,1,1,0.06406114995479584,0.11772534251213074,1,0.9913856983184814
2306,0.03874039277434349,0.08440811932086945,1,1,0.03874039277434349,0.08440811932086945,1,0.9835854768753052
1724,0.28890538215637207,0.3667781949043274,4,4,1.2664209604263306,0.8495674133300781,5,0.3642091155052185
2598,0.07115548104047775,0.25211864709854126,1,1,0.07115548104047775,0.25211864709854126,1,0.82288658618927
2962,2.2068235874176025,3.560333728790283,3,3,2.2068235874176025,3.560333728790283,3,0.9634316563606262
768,0.02502315677702427,0.05124018341302872,1,1,0.02502315677702427,0.05124018341302872,1,0.9793499112129211
2164,0.38837504386901855,0.5153102874755859,1,1,0.38837504386901855,0.5153102874755859,1,0.5832831263542175
1472,0.19431038200855255,0.15873628854751587,1,1,0.19431038200855255,0.15873628854751587,1,0.8950552344322205
1777,2.7631235122680664,4.8703131675720215,3,3,5.881776332855225,15.487130165100098,2,0.510168194770813
1943,0.04916566610336304,0.015747569501399994,1,1,0.04916566610336304,0.015747569501399994,1,0.7085624933242798
1269,0.03361571952700615,0.07666096836328506,1,1,0.03361571952700615,0.07666096836328506,1,0.9897106289863586
1141,0.11887379735708237,0.15249958634376526,1,1,0.11887379735708237,0.15249958634376526,1,0.8391259908676147
2684,0.1975434422492981,0.2506110668182373,1,1,0.1975434422492981,0.2506110668182373,1,0.978577733039856
3440,0.2045162320137024,0.24365976452827454,1,5,0.2045162320137024,0.5874427556991577,1,0.6080785393714905
1045,0.03305073454976082,0.04698135703802109,1,1,0.03305073454976082,0.04698135703802109,1,0.8070016503334045
828,3.2254059314727783,3.9685378074645996,3,3,3.2254059314727783,3.9685378074645996,3,0.5751132369041443
1755,0.04770955443382263,0.10847864300012589,1,1,0.04770955443382263,0.10847864300012589,1,0.9841805696487427
1294,0.4589424431324005,0.9669177532196045,3,3,0.4589424431324005,0.9669177532196045,3,0.8313423991203308
1642,0.15053780376911163,0.15256576240062714,1,1,0.15053780376911163,0.15256576240062714,1,0.9971012473106384
1420,0.03508860245347023,0.09586628526449203,1,1,0.03508860245347023,0.09586628526449203,1,0.8809860944747925
2860,0.039355359971523285,0.08647502213716507,1,1,0.039355359971523285,0.08647502213716507,1,0.9854888319969177
2562,0.18900424242019653,0.28968924283981323,5,5,0.38886165618896484,0.5576347708702087,1,0.5496141314506531
2633,0.23976902663707733,0.1420760452747345,5,5,0.5335259437561035,0.949887752532959,1,0.8022264242172241
1492,0.03623766452074051,0.08243171870708466,1,1,0.03623766452074051,0.08243171870708466,1,0.9662875533103943
1387,0.10167402029037476,0.14140065014362335,1,5,0.10167402029037476,0.1482754945755005,1,0.8319985866546631
1308,0.01782352291047573,0.05039395019412041,1,1,0.01782352291047573,0.05039395019412041,1,0.8918572068214417
1189,0.06301413476467133,0.09418977797031403,1,1,0.06301413476467133,0.09418977797031403,1,0.8628817200660706
2080,0.03932078555226326,0.0844738781452179,1,1,0.03932078555226326,0.0844738781452179,1,0.9827930927276611
3034,0.8786858916282654,2.081782102584839,3,3,3.3217689990997314,7.48724365234375,2,0.33194032311439514
94,6.554298400878906,18.26527214050293,3,3,6.554298400878906,18.26527214050293,3,0.9089560508728027
3468,0.37024760246276855,0.8235931992530823,3,3,0.37024760246276855,0.8235931992530823,3,0.9809324741363525
